index,store_name,city,state,date,store_segment,store_latitude,store_longitude,sales,pedidos,avg_ticket,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,y
9371,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-12,FOOD,-22.8858199,-43.2792183,51.9,2,25.95,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,713.6,541.5,598.16,1215.1,867.1,677.6,497.3,443.1
9818,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-13,FOOD,-22.8858199,-43.2792183,443.1,7,63.3,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,713.6,541.5,598.16,1215.1,867.1,677.6,169.8
9912,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-14,FOOD,-22.8858199,-43.2792183,169.8,4,42.45,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,713.6,541.5,598.16,1215.1,867.1,86.9
10137,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-15,FOOD,-22.8858199,-43.2792183,86.9,2,43.45,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,713.6,541.5,598.16,1215.1,188.7
10431,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-16,FOOD,-22.8858199,-43.2792183,188.7,4,47.18,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,713.6,541.5,598.16,100.2
10736,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-17,FOOD,-22.8858199,-43.2792183,100.2,2,50.1,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,713.6,541.5,47.4
11201,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-19,FOOD,-22.8858199,-43.2792183,47.4,1,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,713.6,182.5
11498,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-20,FOOD,-22.8858199,-43.2792183,182.5,3,60.83,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,419.6,153.7
11553,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-21,FOOD,-22.8858199,-43.2792183,153.7,4,38.43,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,603.3,93.4
11730,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-22,FOOD,-22.8858199,-43.2792183,93.4,3,31.13,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,586.2,90.0
11984,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-23,FOOD,-22.8858199,-43.2792183,90.0,2,45.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,1008.7,70.8
12780,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-26,FOOD,-22.8858199,-43.2792183,70.8,2,35.4,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,144.4,296.6
12984,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-27,FOOD,-22.8858199,-43.2792183,296.6,5,59.32,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,479.4,29.9
13341,AR PAZZI ,RIO DE JANEIRO,RJ,2021-02-28,FOOD,-22.8858199,-43.2792183,29.9,1,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,134.0,100.9
13461,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-01,FOOD,-22.8858199,-43.2792183,100.9,2,50.45,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,273.0,108.9
13868,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-02,FOOD,-22.8858199,-43.2792183,108.9,1,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,1215.9,19.9
14102,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-03,FOOD,-22.8858199,-43.2792183,19.9,1,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,886.0,89.5
14196,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-04,FOOD,-22.8858199,-43.2792183,89.5,2,44.75,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,1252.4,249.14
14490,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-05,FOOD,-22.8858199,-43.2792183,249.14,5,49.83,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,791.82,303.8
14641,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-06,FOOD,-22.8858199,-43.2792183,303.8,5,60.76,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,153.0,392.3
15021,AR PAZZI ,RIO DE JANEIRO,RJ,2021-03-07,FOOD,-22.8858199,-43.2792183,392.3,6,65.38,303.8,249.14,89.5,19.9,108.9,100.9,29.9,296.6,70.8,90.0,93.4,153.7,182.5,47.4,100.2,188.7,86.9,169.8,443.1,51.9,19.5,64.9,62.0,15.9,119.3,51.5,570.24,102.9,15.9,120.4
